Date,Rating,User,Review
26-Nov-18,5,hilwan hadi,"First favorite app store, there is point for buyer, seller. And always made promo when i pay internet service monthly.. its help"
26-Nov-18,4,Donny Zheng,Easy to use and got many range of products in it's marketplace. Some problems with it's fraud detections though.
26-Nov-18,5,Nand Karamchandani,Today we were buying on line but asking provisi which is not taking even location is not getting same as per address even cs not picking up telpone pls email telpone no where we can contact
26-Nov-18,5,Erik Hendrawan,"Very useful app, user friendly, easy to navigate, nice gui, well organized.."
26-Nov-18,5,Calvin Tanhardjo,"Solution for all you need. Gampang pakai-nya, up to date, gak neko neko.. Toped , the best!!"
26-Nov-18,5,A Google user,One of the best apps for online trading in Indonesia. There are varieties of buyer and seller
26-Nov-18,5,Rizki Fadhil,Easy to use. I don't need to go outside to buy things I need and have no idea where to buy. Love.
26-Nov-18,4,Pamela Theo,"Start as a buyer, will try to sell my second comic books with almost perfect condition - Bebe Books"
26-Nov-18,5,A Google user,> Great apps for sell n buy > safety in all kind of transaction > tons of voucher n promo > easy to use
26-Nov-18,5,Yefta Soetanto,"Great app for selling & buying. & have a special apps for seller, very helpfull."
26-Nov-18,5,Hanif Maninerror,"Simple, fast and easy to use with clean interface. Love the filter menu"
26-Nov-18,5,Aida Darman,this app provides easy ways for people to buy n sell...i love it very much
26-Nov-18,5,Triningsih Widodo,"Great App, have a lot of choices and great rewards. T"
26-Nov-18,5,Ibnu Fajar Arif,So far I do online shop with Tokopedia. Nice apps and aeasy to use.
26-Nov-18,5,Aint Uno,"I like this app, and this app better than the same"
26-Nov-18,5,A Google user,"Confidence on buying things in tokopedia, the resolution center always customer minded"
26-Nov-18,5,Astrid Patriast,"Easy to use, secure dan very helpful for online shopping"
26-Nov-18,5,Dian Anggraini,"one stop shopping with easy access, payment method n various options"
26-Nov-18,5,Taka Mori Kanayama,Good and best recommended!!!
26-Nov-18,5,Jujuk Muryanto,Tokopedia is great place to sell and buy online...
26-Nov-18,5,nio nio,Overall is good..but need more extra promo such as free delivery etc
26-Nov-18,5,A Google user,Secure and friendly user most seller also fast response recommended!
26-Nov-18,5,Deni Arfianto,Easy to use and many payment method. helpfull
26-Nov-18,5,Agung Rudianto,"Great place for shop, had a lot of promo"
26-Nov-18,5,yogi nugeraha,One of the best online shop in indonesia
26-Nov-18,5,suyantoantonius edward,"Good apps, please avoid changes menu if possible."
26-Nov-18,5,Sera Sera,"Great shopping apps, easy to use"
26-Nov-18,5,Felicia Huang,very good online marketplace. very recommended
26-Nov-18,5,Joe,"Good application and easy used, recommend application"
26-Nov-18,5,Syarief Hidayatuloh,"Very helpful, safe and easy to use. I love it"
26-Nov-18,5,Cicilia Kristina,Got a lot of promotion and cash back
26-Nov-18,5,Theryas Edward,Good apps with almost everything you need
26-Nov-18,5,A Google user,Can find almost everything I need in TOKOPEDIA
26-Nov-18,5,Lauw Eng Tjun,"May be someday, Tokopedia can achieve like Amazon"
26-Nov-18,5,Taranggo Dhani,"Good marketplace, keep the 5 stars."
26-Nov-18,5,yudistira arsie,Nice app for shopping..i always shopping here
26-Nov-18,5,petrus kusuma,Good and helping to find something fast
26-Nov-18,5,Laura Wijaya,The best online shop in Indonesia
26-Nov-18,5,Yonathan Anggara,I love this app more than another 😊
26-Nov-18,5,Alim Cahyadi,Very helpful and frequent discount sale..
26-Nov-18,5,Valentino Januar Krismanto,Make it more easier to use reward
26-Nov-18,5,A Google user,Best E-commerce in Indonesia
27-Nov-18,5,Grace Laura,"Tokopedia is the best online Mall, with everything u need. Thank you, and keep up the good work."
27-Nov-18,5,Hermawan Ge,bring it to the next level application service!!! Excellent!!!
27-Nov-18,3,Michael Lorenzo,"Since tokocash can't be used and replaced by ovo point, i can't top up my reksadana easily"
27-Nov-18,5,Maxi setiawan,"Nice apps...easy to use, beware being addictes."
27-Nov-18,4,Anang Novida Harinurdin,Friendly to use this application and easy for online shop 👍😊
27-Nov-18,5,Ari silasale,Great application and east to used.i loved using tokopedia.because user friendly
27-Nov-18,5,Suhardjo Hs,Supportful application. I love it.
27-Nov-18,5,Jeffry Lim,Currently the best marketplace in Indonesia
27-Nov-18,4,michael peleh,Its nice but too complicated to use.
27-Nov-18,5,Titus Setiawan,Easy to search and shop. Good apps
27-Nov-18,5,Geni RIna Sunaryo,Tokopedia has helped me slots on searching goods that I need
27-Nov-18,5,Jonlie Sarpin,One of the best shopping online apps
27-Nov-18,5,Irwansyah Irwansyah,good and what you need it is ..
27-Nov-18,5,Taufiqur Rahman,Nice place and easy way of shopping
27-Nov-18,5,Rechmand Mastah,"Simple, Praktis and Fast....!!!"
27-Nov-18,5,A Google user,"nice, complete and easy to use"
27-Nov-18,5,Erik Oktavianus Kusnadi,Best application online shopping.
27-Nov-18,5,Karya Prima Zimo,"Very cool market place, really lovely"
27-Nov-18,5,Renatta Angelina,Toped had my vote. Keep up abd thumbs up
28-Nov-18,4,Rebecca Marpaung,Sometimes it crashed out of the blue. But it only happened like once after the tenth time using it. But the coupons are very expensive.
28-Nov-18,5,Terry Bernadette,A great app for shopping. Very recommended. If you haven't installed it you really missed out. Love the cashbacks. 👍👍👍
28-Nov-18,4,zack GT Racing,"A lot of choice, good prices, good services, easy to use"
28-Nov-18,5,Fahri Karami Rafianto,"Best, Trusted and my personal ""go - to"" e commerce in Indonesia."
28-Nov-18,5,Ketut Irawan,Help me a lot when I have no time to go for shopping..
28-Nov-18,5,Eko diandra kurniawan,One button for every single thing for your life.
28-Nov-18,5,Endar Nugraha,Easy to use. So far transactions went well.
28-Nov-18,5,Hilman Sidiq Amiruloh,If You Search Produc? This is good and only one good apps
28-Nov-18,5,Ynk kpopkdrama,"Good shopping online, easy to use."
28-Nov-18,5,Stephanie Claudia,"My first experience was good, tks tokopedia"
28-Nov-18,5,Luci ana,This app is usefull for me.. Very helpfull
28-Nov-18,5,A Google user,Good solution for online shopping
28-Nov-18,5,Dio Aletheio,Simple and easy to use if you have money
28-Nov-18,5,Satriya galih wismawan,Recommended aplication for indonesia e-commerce
29-Nov-18,5,Andhika Kusumohartoyo,Great app to find all your needs. Many great merchants. Easy to compare price and reviews
29-Nov-18,5,Amka Sani,This application help me so much in my daily life.Make easier and simple
29-Nov-18,3,misya urfandi putri,Good enough. Just sometimes payment is not easy
29-Nov-18,5,Chuck Soekimo,I think this thing is really a good thing if you know what I mean......
29-Nov-18,5,Dominic Devlin,This app was helpfull and very addictive and also easy to use GREAT
29-Nov-18,5,Riska Junita,Awesome.. The application is really user friendly..
29-Nov-18,5,Nana Yang,I always satisfy to order things in this app.
29-Nov-18,5,Unggul Suseno,really good apps. and helpful alot!
30-Nov-18,5,Lisawati Sofian,Easy to access and contain lots of products. The only suggestion is to have history of previous orders
30-Nov-18,1,A Google user,The app ANRs on almost every view change in my phone. It's almost unusable. I have no issues with the competitor apps.
30-Nov-18,5,Irene Sartika,I love how everything is integrated in one apps making it really user friendly. It makes my life easier too.
30-Nov-18,5,pramitha andreyani,Best online shop app in Indonesia. Very easy to use. There are many variety of goods you can find here
30-Nov-18,5,Candra Herwin,Awesome online shopping application. Easy to use and user friendly. Also give a lot of benefits 👍👍👍
30-Nov-18,2,Anhar Muttaqien,"I guess every time i make transactions, the delivery time never accurate, so i pay bulls*** delivery"
30-Nov-18,5,Fidelia Felisia,"The best online market ever, with fast and good response, make me comfortable and safe to shop"
30-Nov-18,5,Lawren Suwandi,Would love if tokopedia give free shipment facility when we spent / buy product above 50 k or 100 k or more. Since I bought above 2 million product but still charged for shipment fee.
30-Nov-18,5,Hendra Teguh,"Very usefull and friendly-user app, good and trusted seller here.. recommended...."
30-Nov-18,5,dany map,"Easy to use , a lot of items , but must certified which original item"
30-Nov-18,5,Arya Arland,"Really helpful in finding things, especially when it's very specific."
30-Nov-18,5,Piton Lo,"Through Tokopedia, shopping is easy, cheap and convenient"
30-Nov-18,5,Benny Weyara Diendasaputra,Great app with great interface for online shopping.
30-Nov-18,5,novero ferdinand kussoy,Keep it up and make it simple and user friendly.
1-Dec-18,5,A Google user,"Search function is a bit slow. For seller that has not been active for sometimes, just terminate and don't show them and their items at all, to minimize our time to search things. Some of the pictures of the items are dark, I think it should be reviewed by tokped first proor to uploading"
1-Dec-18,1,Sugeng Priyono,"very bad in tracking orders, no customer calls, very difficult to use, very slow process"
1-Dec-18,5,Joseph Hendriawan,Tokopedia should fire the suppliers that do not respond to customers' complaints.
1-Dec-18,1,Nate Ratcliffe,The ability to change the language??????
1-Dec-18,5,Eliza Elizabeth,"try to new e com shopping except the other e com, pray this very good"
1-Dec-18,5,abdul rochim,Great application and trusted transaction... useful for refreshing
1-Dec-18,5,A Google user,Very good application... Recommend !!
1-Dec-18,1,A Google user,Can't do activation OVO. Sad!!!
1-Dec-18,5,Oei wijanarko Adi mulya,Smart shopping application for smart people
1-Dec-18,5,yuni sartika,helpful for me to get any stuff
2-Dec-18,1,Kaenova Mahendra,"After updates, i cant even search a product. its constantly crash. please dev fix this issue i like the older version more"
2-Dec-18,3,henry Omyco tedjasentosa,"The app is great, but its hard to get CS solving issues"
2-Dec-18,5,Riski Zulfiansyah,"Loved the UI, it's simple to use"
2-Dec-18,5,Muhammad Purwa Prasetya,Recommend application online store. Thankyou tokopedia.
2-Dec-18,5,Melisa Pucilala,What a good shopping online app!!
2-Dec-18,5,Mas Bro,Love it more than i can say
3-Dec-18,2,Rizqi Kqkq,For some reason the shipping option isn't available for my address in the old version it is works just fine. I don't know.. but this is very inconvenient. Cause I can't buy anything from Tokopedia anymore. Hope you'll fix this
3-Dec-18,3,Tegar Wicaksono,"Improvements need to be done. I bought plane tickets for the first time, and I have not get any information about how did it get declined. I have to file a complain to know what the problem is. Even after that, the answer is not helping. Though I am sure that it was all Tokopedia can do for now, fut...Full Review"
3-Dec-18,3,Dwi Fakhri,"At first, i liked to shopping here because of every single systems, events, especially payment method. But everything changed since Tokopedia used OVO for Online Payment. I'm truly disappointed that Tokopedia doing that. Is that Necessary to Use that App ?"
3-Dec-18,5,Felix Ferdinand,Good apps. Bought almost everything here. Notes only my shipment lost 3 times by JNE. Hopes Tokopedia can do something further to protect the buyers & sellers.
3-Dec-18,5,A Google user,"Efficient, but need more improvement on the payment confirmation system."
3-Dec-18,5,A Google user,"Really helpful to looking, buy and tracking shipping something, and easy to payment thanks Tokopedia"
3-Dec-18,2,A Google user,"Now this app not good as usual, I think maybe since Tokocash change to OVO thing."
3-Dec-18,5,Tata mertha,Great helper for people who can go to the official store like me
3-Dec-18,5,A Google user,Very helpfull usefull and easy to use.. too many discount.. hahhaha
3-Dec-18,4,Ray Gaming,"Helpfull apps,good service,good deals, like it 🤩"
3-Dec-18,5,Liliana Kurniawati,"Quick response, complete and reliable"
3-Dec-18,5,Tassia Widjaja,Easy to use and price are competitive
3-Dec-18,5,Renal Prahardis,Good service and very helpful
3-Dec-18,5,Raju Santosa,Good ... But slow response ... To much AdSense
3-Dec-18,5,A Google user,Great app for online shopping!
3-Dec-18,5,Haris Mansah ARH,Best E-commerce in Indonesia
4-Dec-18,1,Putra Jaya,After update cannot login. Say my connection but I can open Google Play just fine.
4-Dec-18,5,qonita_ primuda,"This app is so easy,you can find anything products in here."
4-Dec-18,4,Saefudin Syafi'i,This is most frequently used app for me..very friendly and useful
4-Dec-18,5,Ganjar Parama,"Such a good app, help us to find many stuff that we need.. 👍"
4-Dec-18,4,Reynold Hutapea,Good app. Recommended to use this app for buying needs.
4-Dec-18,5,Achmad Sofyandi,Tokopedia provides everything in complete and comprehensive info with good sellers
4-Dec-18,5,A Google user,Good marketplace for buying and selling.
4-Dec-18,3,Handy Chan,Too complicated and not user friendly apps
5-Dec-18,5,Surya Putra,"It's pretty satisfying, especially when it comes to the cashback promotions, it actually works. It takes only a matter of seconds to update my account with the new additional balance."
5-Dec-18,2,Harry Muurling,"Program starting to be a mess, no pictures anymore, its awfull slow, changing all the time, I think this is a loser, I stop with this one."
5-Dec-18,1,jason ramsey,There is no help and I can't choose a kurir and the canceled my order and kept my money. Sucks!
5-Dec-18,5,M Hikmal,"This app is perfect for buying things, you might just download it and it is good, trust me."
5-Dec-18,5,Santoso Tarmudji,Aplication can help transaction (buying and selling) securely.
5-Dec-18,5,irwan adrias,"Its gr8 application though...its my fave online shop...its fast, safe & trust...thx tokopedia"
5-Dec-18,3,Gogus Azza,"After update apps can't open pict,only price in my phone...,how come..."
5-Dec-18,5,Muhammad Fathan,Update: problem solved after re-installing the app. Thanks
5-Dec-18,3,angka wijaya,Why???? After updated no 1 picture viewed on screen
5-Dec-18,4,Anton Darkiman,"So far so good, keep good work... Thanks"
5-Dec-18,5,Delfi Chandra,"I think, this application very usefull for me"
5-Dec-18,1,A Google user,"it's always stuck on my phone, very heavy apps"
5-Dec-18,5,Lord Basuki,Good UI and IX. Easy to navigate.
5-Dec-18,5,Fiona Louise,It has good interface so easy to use
5-Dec-18,5,Rizki Kurniawan,One of the best online store in Indonesia.
5-Dec-18,5,lieali susanto,Amazing experience for online shopping
5-Dec-18,5,Hediarta Widiana Putra,The best online store application
5-Dec-18,5,A Google user,Very simple and helpful application 👍
6-Dec-18,5,A Google user,"Good app online shop, choose what you want...then click...click...click...and wait what you need delivered to you"
6-Dec-18,5,Asni Dharmayanti,good and complete. we can't download invoice for claim to our company but unfortunatelly the admin fee from cc is not appear at the invoice.
6-Dec-18,5,Candra bancan,"Nice app, help me a lot. Hope in future there will be new features or improvements"
6-Dec-18,4,Riv,"Good app but, The app won't load the images when using mobile data. Pls fix :)"
6-Dec-18,5,A Google user,Its very good and I feel safe to make payment because it's verified by the bank.
6-Dec-18,5,Evelyn Pratami,Very useful app for online purchase almost anything from daily needs to bills.
6-Dec-18,5,Fajar Suhartono,this application help me to search any item that needed with competitive price
6-Dec-18,5,Donny Daneshwara,Always useful and secure to buy just about anything in here
6-Dec-18,5,Hanseno Suhardi 熊 汉 平,"Good app, excellent, keep improved... Nice"
6-Dec-18,5,Adrian Imam R.,the most reliable online shopping apps
7-Dec-18,5,Calvin Leo,"Tokopedia, All day All year. Gold member currently. Safest when making online transaction, your money remained with Tokopedia until you have confirmed your item received with no problem."
7-Dec-18,5,Florensa Hekopung,"Tokopedia help me shopping without have to go to mall. Save my time, a lot!"
7-Dec-18,1,Muhammad Sutarsah,This app running by system that will ignore humanity for you as a seller.
7-Dec-18,5,Franky Tandanaki,Good application to find out everything you need...helps a lot
7-Dec-18,5,Agus F,"Great app, you can find almost everything here"
7-Dec-18,5,A Google user,Easier for me to find the things tht I want to buy 😊
7-Dec-18,5,Dhana Erjanto,Best online store in Indonesia.
7-Dec-18,5,A Google user,"Nice apps, I always shopping with Tokopedia"
7-Dec-18,5,Yuli Aribowo,Nice Indonesian market .. complete and fast
7-Dec-18,5,ade tarmana,The best ONLINE Shopping I have ever known. Keep it up
7-Dec-18,5,Natha Sakhi,"Great app, and always helping me"
8-Dec-18,5,Zen Canaka,"I always use Tokopedia for online shopping n pay my bills. There are lots of benefits, l love the Cashback and Flashdeal. Realtime"
8-Dec-18,5,Listi Irawati,The best online shopping app! It has great systems that can cancel and refund our money automatically if the seller exceeds processing time.
8-Dec-18,5,Erwin Daznet,"My favourite online shop, the app is very comfortable & easy to use, good job tokopedia"
8-Dec-18,5,hendy halim,Very nice app for seller and buyer. Famous marketplace in Indonesia.
8-Dec-18,5,A Google user,Always buy from this site because it has a lot of benefits 👍👍👍
8-Dec-18,5,A Google user,Good application for buying and selling.
8-Dec-18,5,Milda Ys,"Good application, easy to use 👍"
8-Dec-18,5,Lvy,currently the best online shopping apps so far
8-Dec-18,5,beny santoso,The best app for online shopping
8-Dec-18,5,Mochamad Ramadhan,Indonesia's best e-commerce site
9-Dec-18,4,Hong Ik Thang,Good apps. Hope to have better message handling related to transaction (buy/ sell).
9-Dec-18,4,Heryono Sebastian,"Something like 'size' of product information are not clear. Eg. Length, width, thighness...."
9-Dec-18,5,wellysa amanda,"Best Market Place, you can find anything here."
9-Dec-18,5,attacker 99,"nice application, love it, all transaction can do in here"
9-Dec-18,5,A Google user,Usefull application and makes me fast in action...
9-Dec-18,5,Ria Wahid,first time transactions and recommended.
10-Dec-18,5,Handana Riadi,"Best marketplace apps (loyal user here). You can buy all sort of stuff, from knick-knacks like cute little necklaces to a goddamn Honda CR-V. I'm not even joking here."
10-Dec-18,5,Dita Ayutya,"One of my fav market place. Dear Tokopedia team, please please mind your own reputation by not giving Ninja Express as one of you partner. You might also check the review of this damn Ninja"
10-Dec-18,3,Koixs,"Tokopedia should add free delivery for DIGITAL PRODUCTS for every seller that selling DIGITAL PRODUCTS like steam wallet, itunes gift card, google play gift card, battlenet gift card, etc it's so ridiculous that the seller had to send an empty package just for the delivery service... and found a bug...Full Review"
10-Dec-18,5,Paulus Lando,"I can't imagine live nowadays without tokopedia. Tokopedia is more than just an app, but a lifestyle"
10-Dec-18,3,Wynn Milkyway,I need to have a private chatting with u I got sooo confused when the first time i installed this app
10-Dec-18,5,Indah Yanti,Easy to use. Make buying and selling a breeze. Love it.
10-Dec-18,5,ondo pardede,So far can get the right items as per the description with cheaper price.
10-Dec-18,5,Vidha Kiky,"Good application, really help me when I cant go mobile outside to shop some stuff."
10-Dec-18,4,friscilla prabowo,Very good app amongst the other online shop platforms. Some more discount and cashback so tempting 😂😂😂
10-Dec-18,5,akwan deddy,I think this app very good and useful to us without visit to store..
10-Dec-18,5,Gustiandy,Good apps for finding many things that you need in life
10-Dec-18,4,Ihsan rohim,"Nice apps, help local product to grow and reach even more customer"
10-Dec-18,5,Rudy Pui,"Very helpful, sometimes loading needs more time than instagram"
10-Dec-18,5,Raster Affandi,I love its User interface... Very clear and simple
10-Dec-18,5,Prizkila Saron,Make life easier! At least mine..
10-Dec-18,5,Mz Mira,The best national online shopping I ever used..
10-Dec-18,5,Fransisca Eka Wulandari,"Amazing aplication, search things you need so easy"
10-Dec-18,5,Siswanto -,"Great App, Great Gift Card, Great Benefit"
10-Dec-18,5,Ciovy28,Great. Simple. interactive
11-Dec-18,5,A Google user,"Tokopedia is easy to used. It is very helpfull for me, especially if i don't wanna go to the store to buy something i need and more easy to find some original product. Free ongkir and cashback a little bit help me as a customer. But sometimes in another application online store, the price more cheap...Full Review"
11-Dec-18,5,purwanto darma,"Helpful place for shopping, everything you need is there, with many choices models and prices."
11-Dec-18,2,A Google user,What ovo ???! I dont like it..move to red or black pink now
11-Dec-18,3,daniel noegroho,"new update make the application slowly, every open new task eg, filter it will shown dark screen and wait for few second"
11-Dec-18,5,hesty panitiastuti,Tokopedia is the best app to buy everything I need..good sellers good products..
11-Dec-18,5,wow wew wow,Is the besssssst recoment shoping.......to meeeeeee!!!!!!!
11-Dec-18,5,Anna Mariana,Good app. Very helpful for me . Thanks.
11-Dec-18,5,KAP KAP,I've been using this app almost 2 years. I am satisfied.
11-Dec-18,5,justian louis,It's just brilliant and very useful indeed. Thanks!
11-Dec-18,5,A Google user,Keep up the good work and keep improving for better
11-Dec-18,4,Saphari Milyanto,I like this app because of good service
11-Dec-18,5,Brandon Poluan,The Best E-commerce app EVER! Loved it 😘😍
11-Dec-18,5,dewi purba,"Easy to used, more voucher for free courier charges"
11-Dec-18,5,desy arrie,Friendly user for this application and buyer competitive
11-Dec-18,5,albarhim miftah,"Easy to use,, communicative display"
11-Dec-18,5,Nurhadi Yuwono,Just loved it....good job tokopedia team
11-Dec-18,5,A Google user,Very helpful and good service
12-Dec-18,5,A Google user,"The most user-friendly local online shopping apps, never ending promotions, covers all of your daily needs. Keep up the good offers."
12-Dec-18,5,Norman Lim,Please fix this app. It almost unusable. Always not responding. Takes very long time to access any menu. I'm using this app alot.
12-Dec-18,5,Achmandra Swarino,"The best online shopping in Indonesia, easy to use, trusted, good services"
12-Dec-18,5,Daniel Saragih,"Excellent app for my daily basis for online shopping ! Sadly, need more events for all the customers."
12-Dec-18,5,cecep cahyadi,"The best online store in Indonesia, very helpful."
12-Dec-18,5,Hasna Hapsoh,The best online store in Indonesia. Thank you Tokopedia💜
12-Dec-18,5,A Google user,"Verified, Responded, Processed, and Arrived! Good job, I like it!"
12-Dec-18,3,Ian Yang,Just make ENGLISH VERSION!!!!!!!!!!!!!!!!!!!!
12-Dec-18,5,dessy Adrianto,"No hustle ,just sit relax,the goods arrived at your home 😊"
12-Dec-18,5,AsSyifaa Computer,one of the best online shop in the universe.
12-Dec-18,1,Wanda Blade,"app always crash, you must upgrade the server"
12-Dec-18,5,A Google user,Good application for searching something we need
12-Dec-18,5,Yayuk Yulyanah,This good app for a sale and shop and easy used
13-Dec-18,1,A Google user,"I bought a train ticket via this app. After I choose the seat and made the payment. The seat changed for no reason and Tokopedia did not want to help. Customer service is really bad. Also, I did not get the cash back. Not recommended."
13-Dec-18,4,September,"For the cancellation button must not to wait till 6 hours to show up + wait 24 hours more to wait for seller response, we are buyer don't like a lazy seller. 3 hours max if seller not respond, buyer has right to cancel & looking for another seller who really reliable. Please review & change the syst...Full Review"
13-Dec-18,5,Iman Boedi Setiawan,"My favourite e-commerce application! The cashback comes in handy, collaboration with Ovo. Highly recommended application!"
13-Dec-18,5,Bona Mataram,Semakin user friendly app nya. Clean and sleek. Keep up the good work
13-Dec-18,5,Indah Rahmasani,As a buyer its perfect online shop. Very recomended
13-Dec-18,5,Kero kaffu,"trustworthy online marketplaces, keep it up"
13-Dec-18,4,Rahmat Hidayat,you can find with your finger's here...
13-Dec-18,5,arya dwi nagai,This application so very easy and i love it
13-Dec-18,5,Angga Permana,Great app for your online shopping needs
13-Dec-18,5,Almite Me,Good apps for those living in indonesia
14-Dec-18,1,Wildan Anky Putra,Please bring back sort by how many sold items. It's the most useful features for me
14-Dec-18,5,anggreny kwok,For complain make a good feedback.. tokopedia give a call to customer and makesure the product already receive or not... it makes customer satisfy
14-Dec-18,5,Milka Secapramana,really helpful. i don't have to go anywhere.just stay at home and goods will come to you
14-Dec-18,1,Phillipus Midayanto,"As buyer, complaining fake and reject item to the seller is not effective and take much time. Many seller use fake photo and hiperbolic description to missguide buyer to buy their goods."
14-Dec-18,5,Francesco Basillios,"Good app, Helping people to search for goods in the same shop but cheaper."
14-Dec-18,5,indrajanto babeh,"User friendly, easy shopping, and very transparency.."
14-Dec-18,2,Weiteitei,Asking for upgrade but then nothing happened. Tried order but always fail
14-Dec-18,5,Julepox Firmalasari,"Great apps, make any transaction easier and get more benefits with many promos"
14-Dec-18,5,Elyezer Purba,"everything i do, i do it for you.. -bryan adams"
14-Dec-18,5,andika bhayangkara,Find anything we need with the best price comparison..
14-Dec-18,5,Roy Grady,Very good online market. Love it!!
14-Dec-18,5,victor budiman,Easy to use and easy to find things😊. Good Apps✌
14-Dec-18,5,Luciana Santoso,One application with many function..
15-Dec-18,5,A Google user,Great app and very helpful to find anything I need. Lots of goods even things I've never known before... Precaution!! Could cause shop addicted...
15-Dec-18,4,Milla Susanti,"prices are good, but for fashion product mostly same with others shopping online, and sometimes the fashion are same time by time. It shd be change to avoid customer bored. give more variasion good luck"
15-Dec-18,3,Rizky Abby Purnawan,"Just remove ""Kok cuman diliatin aja?"" notifications everytime I checked the product. It is so annoying for sure"
15-Dec-18,5,Steven Sean,"Nice apps to have, always right on spot and most helpful in searching what i need. Bravo!"
15-Dec-18,1,Elsa Victoria,Confusing and we can't comment with live chat
15-Dec-18,5,Andy Satria,One of my favourite online merchants application and services.
15-Dec-18,5,kyli family vlog,easy to use and very helpfull. the best aplication ever
15-Dec-18,5,nabila bajre,"Verry helping me to buy everything with no worried, thanks"
15-Dec-18,5,Gussaini Sujono,No doubt one of the best choice app 2018👍
15-Dec-18,5,Arwita Anggraeni,This application is very helpful. Love shopping with tokopedia
